100,石狩地方北部,いしかりちほうほくぶ
101,石狩地方中部,いしかりちほうちゅうぶ
102,石狩地方南部,いしかりちほうなんぶ
105,渡島地方北部,おしまちほうほくぶ
106,渡島地方東部,おしまちほうとうぶ
107,渡島地方西部,おしまちほうせいぶ
110,檜山地方,ひやまちほう
115,後志地方北部,しりべしちほうほくぶ
116,後志地方東部,しりべしちほうとうぶ
117,後志地方西部,しりべしちほうせいぶ
119,北海道奥尻島,ほっかいどうおくしりとう
120,空知地方北部,そらちちほうほくぶ
121,空知地方中部,そらちちほうちゅうぶ
122,空知地方南部,そらちちほうなんぶ
125,上川地方北部,かみかわちほうほくぶ
126,上川地方中部,かみかわちほうちゅうぶ
127,上川地方南部,かみかわちほうなんぶ
130,留萌地方中北部,るもいちほうちゅうほくぶ
131,留萌地方南部,るもいちほうなんぶ
135,宗谷地方北部,そうやちほうほくぶ
136,宗谷地方南部,そうやちほうなんぶ
139,北海道利尻礼文,ほっかいどうりしりれぶん
140,網走地方,あばしりちほう
141,北見地方,きたみちほう
142,紋別地方,もんべつちほう
145,胆振地方西部,いぶりちほうせいぶ
146,胆振地方中東部,いぶりちほうちゅうとうぶ
150,日高地方西部,ひだかちほうせいぶ
151,日高地方中部,ひだかちほうちゅうぶ
152,日高地方東部,ひだかちほうとうぶ
155,十勝地方北部,とかちちほうほくぶ
156,十勝地方中部,とかちちほうちゅうぶ
157,十勝地方南部,とかちちほうなんぶ
160,釧路地方北部,くしろちほうほくぶ
161,釧路地方中南部,くしろちほうちゅうなんぶ
165,根室地方北部,ねむろちほうほくぶ
166,根室地方中部,ねむろちほうちゅうぶ
167,根室地方南部,ねむろちほうなんぶ
200,青森県津軽北部,あおもりけんつがるほくぶ
201,青森県津軽南部,あおもりけんつがるなんぶ
202,青森県三八上北,あおもりけんさんぱちかみきた
203,青森県下北,あおもりけんしもきた
210,岩手県沿岸北部,いわてけんえんがんほくぶ
211,岩手県沿岸南部,いわてけんえんがんなんぶ
212,岩手県内陸北部,いわてけんないりくほくぶ
213,岩手県内陸南部,いわてけんないりくなんぶ
220,宮城県北部,みやぎけんほくぶ
221,宮城県南部,みやぎけんなんぶ
222,宮城県中部,みやぎけんちゅうぶ
230,秋田県沿岸北部,あきたけんえんがんほくぶ
231,秋田県沿岸南部,あきたけんえんがんなんぶ
232,秋田県内陸北部,あきたけんないりくほくぶ
233,秋田県内陸南部,あきたけんないりくなんぶ
240,山形県庄内,やまがたけんしょうない
241,山形県最上,やまがたけんもがみ
242,山形県村山,やまがたけんむらやま
243,山形県置賜,やまがたけんおきたま
250,福島県中通り,ふくしまけんなかどおり
251,福島県浜通り,ふくしまけんはまどおり
252,福島県会津,ふくしまけんあいづ
300,茨城県北部,いばらきけんほくぶ
301,茨城県南部,いばらきけんなんぶ
310,栃木県北部,とちぎけんほくぶ
311,栃木県南部,とちぎけんなんぶ
320,群馬県北部,ぐんまけんほくぶ
321,群馬県南部,ぐんまけんなんぶ
330,埼玉県北部,さいたまけんほくぶ
331,埼玉県南部,さいたまけんなんぶ
332,埼玉県秩父,さいたまけんちちぶ
340,千葉県北東部,ちばけんほくとうぶ
341,千葉県北西部,ちばけんほくせいぶ
342,千葉県南部,ちばけんなんぶ
350,東京都２３区,とうきょうとにじゅうさんく
351,東京都多摩東部,とうきょうとたまとうぶ
352,東京都多摩西部,とうきょうとたませいぶ
354,神津島,こうづしま
355,伊豆大島,いずおおしま
356,新島,にいじま
357,三宅島,みやけじま
358,八丈島,はちじょうじま
359,小笠原,おがさわら
360,神奈川県東部,かながわけんとうぶ
361,神奈川県西部,かながわけんせいぶ
370,新潟県上越,にいがたけんじょうえつ
371,新潟県中越,にいがたけんちゅうえつ
372,新潟県下越,にいがたけんかえつ
375,新潟県佐渡,にいがたけんさど
380,富山県東部,とやまけんとうぶ
381,富山県西部,とやまけんせいぶ
390,石川県能登,いしかわけんのと
391,石川県加賀,いしかわけんかが
400,福井県嶺北,ふくいけんれいほく
401,福井県嶺南,ふくいけんれいなん
411,山梨県中・西部,やまなしけんちゅうせいぶ
412,山梨県東部・富士五湖,やまなしけんとうぶふじごこ
420,長野県北部,ながのけんほくぶ
421,長野県中部,ながのけんちゅうぶ
422,長野県南部,ながのけんなんぶ
430,岐阜県飛騨,ぎふけんひだ
431,岐阜県美濃東部,ぎふけんみのとうぶ
432,岐阜県美濃中西部,ぎふけんみのちゅうせいぶ
440,静岡県伊豆,しずおかけんいず
441,静岡県東部,しずおかけんとうぶ
442,静岡県中部,しずおかけんちゅうぶ
443,静岡県西部,しずおかけんせいぶ
450,愛知県東部,あいちけんとうぶ
451,愛知県西部,あいちけんせいぶ
460,三重県北部,みえけんほくぶ
461,三重県中部,みえけんちゅうぶ
462,三重県南部,みえけんなんぶ
500,滋賀県北部,しがけんほくぶ
501,滋賀県南部,しがけんなんぶ
510,京都府北部,きょうとふほくぶ
511,京都府南部,きょうとふなんぶ
520,大阪府北部,おおさかふほくぶ
521,大阪府南部,おおさかふなんぶ
530,兵庫県北部,ひょうごけんほくぶ
531,兵庫県南東部,ひょうごけんなんとうぶ
532,兵庫県南西部,ひょうごけんなんせいぶ
535,兵庫県淡路島,ひょうごけんあわじしま
540,奈良県,ならけん
550,和歌山県北部,わかやまけんほくぶ
551,和歌山県南部,わかやまけんなんぶ
560,鳥取県東部,とっとりけんとうぶ
562,鳥取県中部,とっとりけんちゅうぶ
563,鳥取県西部,とっとりけんせいぶ
570,島根県東部,しまねけんとうぶ
571,島根県西部,しまねけんせいぶ
575,島根県隠岐,しまねけんおき
580,岡山県北部,おかやまけんほくぶ
581,岡山県南部,おかやまけんなんぶ
590,広島県北部,ひろしまけんほくぶ
591,広島県南東部,ひろしまけんなんとうぶ
592,広島県南西部,ひろしまけんなんせいぶ
600,徳島県北部,とくしまけんほくぶ
601,徳島県南部,とくしまけんなんぶ
610,香川県東部,かがわけんとうぶ
611,香川県西部,かがわけんせいぶ
620,愛媛県東予,えひめけんとうよ
621,愛媛県中予,えひめけんちゅうよ
622,愛媛県南予,えひめけんなんよ
630,高知県東部,こうちけんとうぶ
631,高知県中部,こうちけんちゅうぶ
632,高知県西部,こうちけんせいぶ
700,山口県北部,やまぐちけんほくぶ
702,山口県西部,やまぐちけんせいぶ
703,山口県東部,やまぐちけんとうぶ
704,山口県中部,やまぐちけんちゅうぶ
710,福岡県福岡,ふくおかけんふくおか
711,福岡県北九州,ふくおかけんきたきゅうしゅう
712,福岡県筑豊,ふくおかけんちくほう
713,福岡県筑後,ふくおかけんちくご
720,佐賀県北部,さがけんほくぶ
721,佐賀県南部,さがけんなんぶ
730,長崎県北部,ながさきけんほくぶ
731,長崎県南西部,ながさきけんなんせいぶ
732,長崎県島原半島,ながさきけんしまばらはんとう
735,長崎県対馬,ながさきけんつしま
736,長崎県壱岐,ながさきけんいき
737,長崎県五島,ながさきけんごとう
740,熊本県阿蘇,くまもとけんあそ
